"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/components/UserDropdown.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 0, 1, 14, 97
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/contexts/AuthContext.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 1, 17, 91
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/index.css", "CSS", 0, 0, 0, 58, 0, 0, 0, 0, 8, 66
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/services/apiService.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 4, 11, 63
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/services/authService.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 4, 26, 152
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/services/socketService.js", "JavaScript", 254, 0, 0, 0, 0, 0, 0, 24, 56, 334
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/services/soundService.js", "JavaScript", 275, 0, 0, 0, 0, 0, 0, 32, 57, 364
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/utils/deadTimeUtils.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 25, 24, 178
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/utils/faviconManager.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 9, 18, 108
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/utils/socketListeners.js", "JavaScript", 351, 0, 0, 0, 0, 0, 0, 51, 51, 453
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/utils/timeUtils.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 4, 6, 28
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/utils/useScreenWake.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 12, 19, 130
"/Users/beratkaragol/zMY_PROJECTS/zpomodoro-app/client/src/utils/useWakeLock.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 9, 14, 97
